order_id,transaction_date,branch_id,product_sku,product_name,category,qty_sold,unit_price_uzs,payment_method,cashier_id,discount_pct
ORD-20240115-001,2024-01-15 08:43:11,3,SKU-001,Tomatoes,Fresh Produce,4,2500,CASH,C012,0
ORD-20240115-001,2024-01-15 08:43:11,3,SKU-008,Milk (1L),Dairy & Eggs,2,12000,CASH,C012,0
ORD-20240115-002,2024-01-15 09:12:44,3,SKU-006,White Bread,Bakery,1,8500,CARD,C012,5
ORD-20240115-003,2024-01-15 09:31:05,3,SKU-001,Tomatoes,Fresh Produce,2,2500,CARD,C013,0
ORD-20240115-004,2024-01-15 10:05:22,3,SKU-036,Chips,Snacks & Sweets,3,15000,CASH,C013,10
ORD-20240115-005,2024-01-15 10:22:18,3,SKU-008,Milk (1L),Dairy & Eggs,1,12000,CARD,C014,0
ORD-20240115-006,2024-01-15 11:04:55,3,SKU-015,Rice (5kg),Staples,2,45000,CASH,C012,0
ORD-20240115-007,2024-01-15 11:45:30,3,SKU-006,White Bread,Bakery,2,8500,CASH,C013,0
ORD-20240115-008,2024-01-15 12:10:09,3,SKU-049,Apples,Fresh Produce,5,4000,CARD,C014,0
ORD-20240115-009,2024-01-15 12:55:41,3,SKU-001,Tomatoes,Fresh Produce,3,2500,CASH,C012,5
ORD-20240115-010,2024-01-15 13:30:17,3,SKU-017,Sugar (1kg),Staples,4,9000,CASH,C013,0
ORD-20240115-011,2024-01-15 14:02:38,3,SKU-036,Chips,Snacks & Sweets,2,15000,CARD,C014,0
ORD-20240115-012,2024-01-15 14:44:52,3,SKU-008,Milk (1L),Dairy & Eggs,3,12000,CASH,C012,0
ORD-20240115-013,2024-01-15 15:21:06,3,SKU-043,Toilet Paper,Household,4,18000,CARD,C013,0
ORD-20240115-014,2024-01-15 16:05:33,3,SKU-049,Apples,Fresh Produce,2,4000,CASH,C014,0
ORD-20240115-015,2024-01-15 16:48:19,3,SKU-015,Rice (5kg),Staples,1,45000,CARD,C012,0
ORD-20240115-016,2024-01-15 17:30:44,3,SKU-001,Tomatoes,Fresh Produce,6,2500,CASH,C013,0
ORD-20240115-017,2024-01-15 18:12:55,3,SKU-017,Sugar (1kg),Staples,2,9000,CARD,C014,0
ORD-20240115-018,2024-01-15 18:50:02,3,SKU-006,White Bread,Bakery,3,8500,CASH,C012,0
ORD-20240115-019,2024-01-15 19:22:31,3,SKU-036,Chips,Snacks & Sweets,1,15000,CARD,C013,10
ORD-20240116-001,2024-01-16 09:05:14,3,SKU-001,Tomatoes,Fresh Produce,3,2500,CASH,C012,0
ORD-20240116-002,2024-01-16 09:44:27,3,SKU-008,Milk (1L),Dairy & Eggs,4,12000,CARD,C013,0
ORD-20240116-003,2024-01-16 10:30:51,3,SKU-049,Apples,Fresh Produce,3,4000,CASH,C014,0
ORD-20240116-004,2024-01-16 11:15:08,3,SKU-015,Rice (5kg),Staples,2,45000,CASH,C012,0
ORD-20240116-005,2024-01-16 12:02:39,3,SKU-006,White Bread,Bakery,2,8500,CARD,C013,0
ORD-20240116-006,2024-01-16 13:18:44,3,SKU-017,Sugar (1kg),Staples,3,9000,CASH,C014,0
ORD-20240116-007,2024-01-16 14:05:22,3,SKU-043,Toilet Paper,Household,2,18000,CARD,C012,0
ORD-20240116-008,2024-01-16 15:30:11,3,SKU-036,Chips,Snacks & Sweets,4,15000,CASH,C013,5
ORD-20240116-009,2024-01-16 16:44:38,3,SKU-001,Tomatoes,Fresh Produce,5,2500,CARD,C014,0
ORD-20240116-010,2024-01-16 17:55:03,3,SKU-008,Milk (1L),Dairy & Eggs,2,12000,CASH,C012,0
